id,prediction
0,0.69871527
1,0.06724448
2,0.027221894
3,0.0017401279
4,0.051972445
5,0.0035105906
6,0.0071557085
7,0.18769723
8,0.09005764
9,0.0059316065
10,0.0023971254
11,0.069434926
12,0.00533346
13,0.1728463
14,0.022444243
15,0.015900921
16,0.08863569
17,0.002393534
18,0.057038188
19,0.043382596
20,0.106160715
21,0.068232246
22,0.014675856
23,0.0057621365
24,0.14525092
25,0.41952693
26,0.06472423
27,0.0034086395
28,0.0140111605
29,0.0047839484
30,0.0018994043
31,0.0028913799
32,0.026870092
33,0.004628892
34,0.1799852
35,0.047581844
36,0.006698645
37,0.016395433
38,0.06288723
39,0.045400213
40,0.033020835
41,0.10419628
42,0.0110904435
43,0.014422481
44,0.03509034
45,0.22268197
46,0.10122242
47,0.09782995
48,0.14350352
49,0.04063971
50,0.053382978
51,0.023911122
52,0.0034440805
53,0.009689429
54,0.015345493
55,0.00424257
56,0.052049644
57,0.08004993
58,0.6468681
59,0.033903856
60,0.32497647
61,0.036025375
62,0.022562759
63,0.032607324
64,0.06187298
65,0.9075402
66,0.5728628
67,0.1610869
68,0.012742159
69,0.046388585
70,0.033699997
71,0.04450067
72,0.002357022
73,0.021080624
74,0.016731182
75,0.029160723
76,0.114766404
77,0.015125875
78,0.0039047066
79,0.032663677
80,0.017638952
81,0.014028866
82,0.057864383
83,0.09733112
84,0.0051823203
85,0.007925642
86,0.11018535
87,0.08206639
88,0.6268004
89,0.053069863
90,0.05891347
91,0.018542482
92,0.19600278
93,0.019217607
94,0.05562064
95,0.04497222
96,0.010023369
97,0.006473701
98,0.0035428975
99,0.005273474
100,0.37776503
101,0.0030189625
102,0.072394304
103,0.006307475
104,0.0019251965
105,0.9482449
106,0.06559889
107,0.009819989
108,0.004662013
109,0.01692313
110,0.08067457
111,0.051210117
112,0.05368508
113,0.050270095
114,0.015995963
115,0.0061290343
116,0.021136228
117,0.014002579
118,0.22214031
119,0.06424031
120,0.024012528
121,0.23333848
122,0.06477571
123,0.042665493
124,0.21893416
125,0.009662119
126,0.010245923
127,0.013238822
128,0.07049077
129,0.06383479
130,0.26399058
131,0.004261918
132,0.06427345
133,0.021790175
134,0.0020861935
135,0.0044929124
136,0.08693083
137,0.004630362
138,0.086949
139,0.032421716
140,0.03526434
141,0.22931129
142,0.0036501342
143,0.221036
144,0.033484202
145,0.23859891
146,0.017309744
147,0.0073691458
148,0.039786767
149,0.034177303
150,0.0033010521
151,0.02379679
152,0.007142329
153,0.07654995
154,0.0643906
155,0.010216271
156,0.14699274
157,0.029950604
158,0.04881223
159,0.7323196
160,0.030518344
161,0.054073554
162,0.15220127
163,0.056390062
164,0.0027342935
165,0.34491763
166,0.041244414
167,0.02159474
168,0.2034717
169,0.056845263
170,0.25177327
171,0.0026962545
172,0.91550666
173,0.13650022
174,0.053221583
175,0.63528377
176,0.06055584
177,0.025392761
178,0.08273372
179,0.15747932
180,0.114383206
181,0.051413137
182,0.020213882
183,0.049491722
184,0.04590884
185,0.022574546
186,0.081553034
187,0.05973783
188,0.0028059843
189,0.1088623
190,0.006599365
191,0.16188389
192,0.31807947
193,0.054682933
194,0.024872508
195,0.3385699
196,0.25278434
197,0.014080657
198,0.3455699
199,0.014389679
200,0.027043538
201,0.26471686
202,0.015702676
203,0.7666961
204,0.085568026
205,0.13906313
206,0.0027547101
207,0.045488287
208,0.06357445
209,0.025418311
210,0.37409675
211,0.09532908
212,0.0025763677
213,0.0025796855
214,0.0068173488
215,0.8739683
216,0.10930677
217,0.0070588035
218,0.003089924
219,0.19378276
220,0.053745985
221,0.0029703053
222,0.014565548
223,0.015513759
224,0.0061478447
225,0.046780594
226,0.040699225
227,0.04627176
228,0.13414042
229,0.01855977
230,0.09534809
231,0.050936706
232,0.012532145
233,0.0373049
234,0.0014631219
235,0.020771936
236,0.08561544
237,0.09542836
238,0.007713087
239,0.012764078
240,0.0050401078
241,0.040411558
242,0.065406375
243,0.0012869133
244,0.0020790356
245,0.0175694
246,0.5877281
247,0.060178075
248,0.0050299075
249,0.068593845
250,0.03150834
251,0.040652987
252,0.23592561
253,0.39310408
254,0.039659
255,0.027597602
256,0.0023139492
257,0.008361561
258,0.03716039
259,0.07293659
260,0.0042864066
261,0.077237256
262,0.021691494
263,0.047310896
264,0.02012686
265,0.049218476
266,0.0043966714
267,0.0029847652
268,0.0018594948
269,0.003449469
270,0.010911371
271,0.023177283
272,0.13954446
273,0.17084363
274,0.083491385
275,0.03355824
276,0.11082039
277,0.38629004
278,0.048275743
279,0.053836234
280,0.25177827
281,0.12303837
282,0.0029993083
283,0.018547338
284,0.07561851
285,0.024810761
286,0.44169602
287,0.0034526242
288,0.09811432
289,0.037536345
290,0.07724001
291,0.0072159483
292,0.06301291
293,0.12720948
294,0.036065977
295,0.016177012
296,0.0033576856
297,0.0055587427
298,0.011431825
299,0.084313646
300,0.19524668
301,0.0021908989
302,0.2575921
303,0.0038298122
304,0.046109766
305,0.0017529307
306,0.04471255
307,0.015241815
308,0.02192091
309,0.02711004
310,0.018759197
311,0.06780547
312,0.05910254
313,0.043804612
314,0.026854686
315,0.010010385
316,0.4016997
317,0.14783448
318,0.079236306
319,0.0592524
320,0.0411863
321,0.010208779
322,0.027940946
323,0.003803065
324,0.048820123
325,0.0117251845
326,0.004603822
327,0.0064726304
328,0.01498936
329,0.017968373
330,0.08327268
331,0.03874496
332,0.008235502
333,0.013892048
334,0.030828219
335,0.002403509
336,0.014998727
337,0.0023063538
338,0.057919793
339,0.005304232
340,0.015575179
341,0.1390559
342,0.0020425112
343,0.067462705
344,0.041789394
345,0.10123396
346,0.05579907
347,0.01780293
348,0.13174349
349,0.048351668
350,0.028704617
351,0.018253285
352,0.01035388
353,0.061907835
354,0.24118152
355,0.012293599
356,0.034381445
357,0.02304686
358,0.10550585
359,0.030129036
360,0.04401907
361,0.009520507
362,0.0026640426
363,0.0031795732
364,0.15275703
365,0.0977573
366,0.012440793
367,0.0020463374
368,0.028545005
369,0.078479424
370,0.005900101
371,0.23906459
372,0.089334294
373,0.14717801
374,0.1042808
375,0.006513468
376,0.027046282
377,0.56399393
378,0.20100805
379,0.0038673182
380,0.06840703
381,0.07060372
382,0.036562134
383,0.013489104
384,0.0014182472
385,0.06689187
386,0.07844107
387,0.022977933
388,0.015255899
389,0.010075023
390,0.011414782
391,0.08925149
392,0.17680562
393,0.46000248
394,0.02068342
395,0.020679839
396,0.199151
397,0.014772528
398,0.013251279
399,0.093877316
400,0.0070828176
401,0.058952887
402,0.51225865
403,0.054759473
404,0.051784687
405,0.049136605
406,0.11385939
407,0.0036488445
408,0.009452385
409,0.07148918
410,0.12931496
411,0.033041343
412,0.04437209
413,0.016080843
414,0.016430859
415,0.15925106
416,0.03851902
417,0.0022248365
418,0.01179412
419,0.007908668
420,0.0057864343
421,0.003840918
422,0.030324884
423,0.1078802
424,0.05379054
425,0.016685963
426,0.009030229
427,0.019314341
428,0.027387276
429,0.04779905
430,0.0515186
431,0.05610431
